AA,AK,KQ,QJ,JT,T9,98,87,76,65,54,43,32
KK,AQ,KJ,QT,J9,T8,97,86,75,64,53,42,
QQ,AJ,KT,Q9,J8,T7,96,85,74,63,52,,
JJ,AT,K9,Q8,J7,T6,95,84,73,62,,,
TT,A9,K8,Q7,J6,T5,94,83,72,,,,
99,A8,K7,Q6,J5,T4,93,82,,,,,
88,A7,K6,Q5,J4,T3,92,,,,,,
77,A6,K5,Q4,J3,T2,,,,,,,
66,A5,K4,Q3,J2,,,,,,,,
55,A4,K3,Q2,,,,,,,,,
44,A3,K2,,,,,,,,,,
33,A2,,,,,,,,,,,
22,,,,,,,,,,,,
